state,district,year,crop,production_t
Punjab,Tarn taran,2022 - 2023,Rice,764000.0
Punjab,Amritsar,2010 - 2011,Wheat,810000.0
Punjab,Amritsar,2011 - 2012,Wheat,945000.0
Punjab,Amritsar,2012 - 2013,Wheat,884000.0
Punjab,Amritsar,2013 - 2014,Wheat,934000.0
Punjab,Amritsar,2014 - 2015,Wheat,736000.0
Punjab,Amritsar,2015 - 2016,Wheat,842000.0
Punjab,Amritsar,2016 - 2017,Wheat,930000.0
Punjab,Amritsar,2017 - 2018,Wheat,920000.0
Punjab,Amritsar,2018 - 2019,Wheat,910000.0
Punjab,Amritsar,2019 - 2020,Wheat,852000.0
Punjab,Amritsar,2020 - 2021,Wheat,900000.0
Punjab,Amritsar,2021 - 2022,Wheat,843000.0
Punjab,Amritsar,2022 - 2023,Wheat,905400.0
Punjab,Barnala,2010 - 2011,Wheat,572000.0
Punjab,Barnala,2011 - 2012,Wheat,615000.0
Punjab,Barnala,2012 - 2013,Wheat,567000.0
Punjab,Barnala,2013 - 2014,Wheat,596000.0
Punjab,Barnala,2014 - 2015,Wheat,527000.0
Punjab,Barnala,2015 - 2016,Wheat,565000.0
Punjab,Barnala,2016 - 2017,Wheat,626000.0
Punjab,Barnala,2017 - 2018,Wheat,609000.0
Punjab,Barnala,2018 - 2019,Wheat,641000.0
Punjab,Barnala,2019 - 2020,Wheat,599000.0
Punjab,Barnala,2020 - 2021,Wheat,546000.0
Punjab,Barnala,2021 - 2022,Wheat,525000.0
Punjab,Barnala,2022 - 2023,Wheat,574100.0
Punjab,Bathinda,2010 - 2011,Wheat,1166000.0
Punjab,Bathinda,2011 - 2012,Wheat,1260000.0
Punjab,Bathinda,2012 - 2013,Wheat,1216000.0
Punjab,Bathinda,2013 - 2014,Wheat,1259000.0
Punjab,Bathinda,2014 - 2015,Wheat,1218000.0
Punjab,Bathinda,2015 - 2016,Wheat,1184000.0
Punjab,Bathinda,2016 - 2017,Wheat,1335000.0
Punjab,Bathinda,2017 - 2018,Wheat,1345000.0
Punjab,Bathinda,2018 - 2019,Wheat,1428000.0
Punjab,Bathinda,2019 - 2020,Wheat,1387000.0
Punjab,Bathinda,2020 - 2021,Wheat,1266000.0
Punjab,Bathinda,2021 - 2022,Wheat,1149000.0
Punjab,Bathinda,2022 - 2023,Wheat,1257300.0
Punjab,Faridkot,2010 - 2011,Wheat,563000.0
Punjab,Faridkot,2011 - 2012,Wheat,616000.0
Punjab,Faridkot,2012 - 2013,Wheat,553000.0
Punjab,Faridkot,2013 - 2014,Wheat,601000.0
Punjab,Faridkot,2014 - 2015,Wheat,558000.0
Punjab,Faridkot,2015 - 2016,Wheat,550000.0
Punjab,Faridkot,2016 - 2017,Wheat,609000.0
Punjab,Faridkot,2017 - 2018,Wheat,619000.0
Punjab,Faridkot,2018 - 2019,Wheat,620000.0
Punjab,Faridkot,2019 - 2020,Wheat,646000.0
Punjab,Faridkot,2020 - 2021,Wheat,588000.0
Punjab,Faridkot,2021 - 2022,Wheat,529000.0
Punjab,Faridkot,2022 - 2023,Wheat,504500.0
Punjab,Fatehgarh sahib,2010 - 2011,Wheat,417000.0
Punjab,Fatehgarh sahib,2011 - 2012,Wheat,449000.0
Punjab,Fatehgarh sahib,2012 - 2013,Wheat,440000.0
Punjab,Fatehgarh sahib,2013 - 2014,Wheat,427000.0
Punjab,Fatehgarh sahib,2014 - 2015,Wheat,340000.0
Punjab,Fatehgarh sahib,2015 - 2016,Wheat,394000.0
Punjab,Fatehgarh sahib,2016 - 2017,Wheat,436000.0
Punjab,Fatehgarh sahib,2017 - 2018,Wheat,454000.0
Punjab,Fatehgarh sahib,2018 - 2019,Wheat,440000.0
Punjab,Fatehgarh sahib,2019 - 2020,Wheat,374000.0
Punjab,Fatehgarh sahib,2020 - 2021,Wheat,422000.0
Punjab,Fatehgarh sahib,2021 - 2022,Wheat,290000.0
Punjab,Fatehgarh sahib,2022 - 2023,Wheat,404700.0
Punjab,Fazilka,2012 - 2013,Wheat,972000.0
Punjab,Fazilka,2013 - 2014,Wheat,1039000.0
Punjab,Fazilka,2014 - 2015,Wheat,913000.0
Punjab,Fazilka,2015 - 2016,Wheat,939000.0
Punjab,Fazilka,2016 - 2017,Wheat,1023000.0
Punjab,Fazilka,2017 - 2018,Wheat,1007000.0
Punjab,Fazilka,2018 - 2019,Wheat,1052000.0
Punjab,Fazilka,2019 - 2020,Wheat,1016000.0
Punjab,Fazilka,2020 - 2021,Wheat,984000.0
Punjab,Fazilka,2021 - 2022,Wheat,873000.0
Punjab,Fazilka,2022 - 2023,Wheat,925000.0
Punjab,Firozepur,2010 - 2011,Wheat,1850000.0
Punjab,Firozepur,2011 - 2012,Wheat,1969000.0
Punjab,Firozepur,2012 - 2013,Wheat,911000.0
Punjab,Firozepur,2013 - 2014,Wheat,1001000.0
Punjab,Firozepur,2014 - 2015,Wheat,877000.0
Punjab,Firozepur,2015 - 2016,Wheat,862000.0
Punjab,Firozepur,2016 - 2017,Wheat,959000.0
Punjab,Firozepur,2017 - 2018,Wheat,977000.0
Punjab,Firozepur,2018 - 2019,Wheat,1010000.0
Punjab,Firozepur,2019 - 2020,Wheat,957000.0
Punjab,Firozepur,2020 - 2021,Wheat,967000.0
Punjab,Firozepur,2021 - 2022,Wheat,821000.0
Punjab,Firozepur,2022 - 2023,Wheat,906000.0
Punjab,Gurdaspur,2010 - 2011,Wheat,919000.0
Punjab,Gurdaspur,2011 - 2012,Wheat,1098000.0
Punjab,Gurdaspur,2012 - 2013,Wheat,825000.0
Punjab,Gurdaspur,2013 - 2014,Wheat,822000.0
Punjab,Gurdaspur,2014 - 2015,Wheat,627000.0
Punjab,Gurdaspur,2015 - 2016,Wheat,856000.0
Punjab,Gurdaspur,2016 - 2017,Wheat,848000.0
Punjab,Gurdaspur,2017 - 2018,Wheat,876000.0
Punjab,Gurdaspur,2018 - 2019,Wheat,868000.0
Punjab,Gurdaspur,2019 - 2020,Wheat,772000.0
Punjab,Gurdaspur,2020 - 2021,Wheat,840000.0
Punjab,Gurdaspur,2021 - 2022,Wheat,777000.0
Punjab,Gurdaspur,2022 - 2023,Wheat,820400.0
Punjab,Hoshiarpur,2010 - 2011,Wheat,661000.0
Punjab,Hoshiarpur,2011 - 2012,Wheat,694000.0
Punjab,Hoshiarpur,2012 - 2013,Wheat,629000.0
Punjab,Hoshiarpur,2013 - 2014,Wheat,671000.0
Punjab,Hoshiarpur,2014 - 2015,Wheat,540000.0
Punjab,Hoshiarpur,2015 - 2016,Wheat,591000.0
Punjab,Hoshiarpur,2016 - 2017,Wheat,606000.0
Punjab,Hoshiarpur,2017 - 2018,Wheat,620000.0
Punjab,Hoshiarpur,2018 - 2019,Wheat,611000.0
Punjab,Hoshiarpur,2019 - 2020,Wheat,609000.0
Punjab,Hoshiarpur,2020 - 2021,Wheat,588000.0
Punjab,Hoshiarpur,2021 - 2022,Wheat,515000.0
Punjab,Hoshiarpur,2022 - 2023,Wheat,570800.0
Punjab,Jalandhar,2010 - 2011,Wheat,793000.0
Punjab,Jalandhar,2011 - 2012,Wheat,866000.0
Punjab,Jalandhar,2012 - 2013,Wheat,773000.0
Punjab,Jalandhar,2013 - 2014,Wheat,837000.0
Punjab,Jalandhar,2014 - 2015,Wheat,685000.0
Punjab,Jalandhar,2015 - 2016,Wheat,762000.0
Punjab,Jalandhar,2016 - 2017,Wheat,809000.0
Punjab,Jalandhar,2017 - 2018,Wheat,861000.0
Punjab,Jalandhar,2018 - 2019,Wheat,845000.0
Punjab,Jalandhar,2019 - 2020,Wheat,870000.0
Punjab,Jalandhar,2020 - 2021,Wheat,845000.0
Punjab,Jalandhar,2021 - 2022,Wheat,732000.0
Punjab,Jalandhar,2022 - 2023,Wheat,754300.0
Punjab,Kapurthala,2010 - 2011,Wheat,480000.0
Punjab,Kapurthala,2011 - 2012,Wheat,542000.0
Punjab,Kapurthala,2012 - 2013,Wheat,510000.0
Punjab,Kapurthala,2013 - 2014,Wheat,548000.0
Punjab,Kapurthala,2014 - 2015,Wheat,429000.0
Punjab,Kapurthala,2015 - 2016,Wheat,469000.0
Punjab,Kapurthala,2016 - 2017,Wheat,522000.0
Punjab,Kapurthala,2017 - 2018,Wheat,523000.0
Punjab,Kapurthala,2018 - 2019,Wheat,516000.0
Punjab,Kapurthala,2019 - 2020,Wheat,507000.0
Punjab,Kapurthala,2020 - 2021,Wheat,486000.0
Punjab,Kapurthala,2021 - 2022,Wheat,439000.0
Punjab,Kapurthala,2022 - 2023,Wheat,484300.0
Punjab,Ludhiana,2010 - 2011,Wheat,1276000.0
Punjab,Ludhiana,2011 - 2012,Wheat,1381000.0
Punjab,Ludhiana,2012 - 2013,Wheat,1242000.0
Punjab,Ludhiana,2013 - 2014,Wheat,1327000.0
Punjab,Ludhiana,2014 - 2015,Wheat,1129000.0
Punjab,Ludhiana,2015 - 2016,Wheat,1172000.0
Punjab,Ludhiana,2016 - 2017,Wheat,1273000.0
Punjab,Ludhiana,2017 - 2018,Wheat,1296000.0
Punjab,Ludhiana,2018 - 2019,Wheat,1288000.0
Punjab,Ludhiana,2019 - 2020,Wheat,1275000.0
Punjab,Ludhiana,2020 - 2021,Wheat,1241000.0
Punjab,Ludhiana,2021 - 2022,Wheat,1044000.0
Punjab,Ludhiana,2022 - 2023,Wheat,1123400.0
Punjab,Malerkotla,2021 - 2022,Wheat,227000.0
Punjab,Malerkotla,2022 - 2023,Wheat,258500.0
Punjab,Mansa,2010 - 2011,Wheat,830000.0
Punjab,Mansa,2011 - 2012,Wheat,841000.0
Punjab,Mansa,2012 - 2013,Wheat,759000.0
Punjab,Mansa,2013 - 2014,Wheat,854000.0
Punjab,Mansa,2014 - 2015,Wheat,742000.0
Punjab,Mansa,2015 - 2016,Wheat,789000.0
Punjab,Mansa,2016 - 2017,Wheat,876000.0
Punjab,Mansa,2017 - 2018,Wheat,890000.0
Punjab,Mansa,2018 - 2019,Wheat,932000.0
Punjab,Mansa,2019 - 2020,Wheat,922000.0
Punjab,Mansa,2020 - 2021,Wheat,852000.0
Punjab,Mansa,2021 - 2022,Wheat,768000.0
Punjab,Mansa,2022 - 2023,Wheat,854200.0
Punjab,Moga,2010 - 2011,Wheat,887000.0
Punjab,Moga,2011 - 2012,Wheat,961000.0
Punjab,Moga,2012 - 2013,Wheat,871000.0
Punjab,Moga,2013 - 2014,Wheat,922000.0
Punjab,Moga,2014 - 2015,Wheat,794000.0
Punjab,Moga,2015 - 2016,Wheat,805000.0
Punjab,Moga,2016 - 2017,Wheat,918000.0
Punjab,Moga,2017 - 2018,Wheat,908000.0
Punjab,Moga,2018 - 2019,Wheat,941000.0
Punjab,Moga,2019 - 2020,Wheat,942000.0
Punjab,Moga,2020 - 2021,Wheat,911000.0
Punjab,Moga,2021 - 2022,Wheat,778000.0
Punjab,Moga,2022 - 2023,Wheat,846300.0
Punjab,Muktsar,2010 - 2011,Wheat,957000.0
Punjab,Muktsar,2011 - 2012,Wheat,1036000.0
Punjab,Muktsar,2012 - 2013,Wheat,996000.0
Punjab,Muktsar,2013 - 2014,Wheat,1058000.0
Punjab,Muktsar,2014 - 2015,Wheat,907000.0
Punjab,Muktsar,2015 - 2016,Wheat,969000.0
Punjab,Muktsar,2016 - 2017,Wheat,1093000.0
Punjab,Muktsar,2017 - 2018,Wheat,1108000.0
Punjab,Muktsar,2018 - 2019,Wheat,1192000.0
Punjab,Muktsar,2019 - 2020,Wheat,1168000.0
